fdc_id,unit,description,grams
167965,oz,oz,28.35
167965,oz,oz,28.5
167966,cake,cake,9
167966,cake,cakes,9
167967,cake,cake,9
167967,cake,cakes,9
167968,cup,cup,140
167968,oz,oz,28.35
167968,oz,oz,28
167969,cup,cup,146
167969,oz,oz,28.35
167969,oz,oz,28
167970,oz,oz,28.35
167970,bag,bag (8 oz),227
167971,serving,serving 6 pieces,40
167971,piece,piece,6.6
167972,oz,oz,28.35
167972,piece,pieces,5.333
167973,oz,oz,28.35
167973,bar,bar (3 oz),87
167974,package,package (2.5 oz),71
167974,piece,piece,10.1
167975,bar,bar 1.25 oz,35
167975,bar,bar 1.6 oz,45
167975,block,blocks,7.167
167976,serving,serving,14.5
167976,cup,cup large chips,182
167976,cup,cup mini chips,173
167976,oz,oz (approx 60 pcs),28.35
167976,cup,cup chips (6 oz package),168
167977,oz,oz,28.35
167977,bar,bar (1.45 oz),41
167978,patty,"patty, large",43
167978,patty,"patty, small",11
167979,piece,pieces,3.154
167980,cup,cup chips,170
167980,oz,oz,28.35
167981,cup,cup (4 fl oz),172
167982,patty,patty 1.5 oz,43
167983,piece,pieces,1.481
167984,bar,bar 1.5 oz,42
167984,bar,bar 2.4 oz,68
167985,bar,bar 2 oz,56
167985,bar,bar snack size,16
167986,oz,oz,28.35
167987,piece,piece,17
167988,oz,oz,28.35
167989,cup,cup gumdrops,182
167989,gumdrop,gumdrops,3.6
167989,gummy,gummy bears,2.2
167989,gummy,gummy dinosaurs,6.3
167989,gummy,gummy fish,5
167989,gummy,gummy worms,7.4
167989,spice,spice stick,9.5
167989,spice,spice drop,24
167989,gumdrop,"gumdrop, small (1/2"" dia)",3.2
167989,gumdrop,"gumdrop, medium (3/4"" dia)",4.2
167989,gumdrop,"gumdrop, large (1"" dia)",11.6
167989,jelly,"jelly ring (1-1/4"" dia)",10
167990,oz,oz,28.35
167990,piece,piece,6
167990,piece,"piece, small",3
167991,small,small,1.1
167991,large,large (1 oz),2.8
167992,bar,bar (1.5 oz),42
167992,bar,"bar, miniature (.35 oz)",10
167992,bar,bar (1.625 oz),46
167992,bar,bar (2.8 oz),78
167992,bar,bar (3.375 oz),96
167993,bar,bar 1.45 oz,41
167993,bar,bar 2 oz,56
167993,block,blocks,12.333
167994,bar,bar (1.76 oz),50
167995,cup,cup of miniature,50
167995,miniature,miniatures,0.7
167995,regular,regular,7.2
167996,oz,oz,28.35
167997,bar,bar 2 oz,57
167997,serving,serving fun size bar,26
167998,cup,cup From 19211,284
167999,tablet,tablet,20
168000,serving,serving 2 TBSP,37
168001,cup,cup,149
168001,piece,pieces,4
168002,cooky,cookies,10
168003,cooky,cookies,7.667
168004,cracker,crackers,2.467
168005,goldfish,goldfish,0.52
168006,goldfish,goldfish,0.53
168007,cooky,cookies,14.667
168008,roll,roll,78
168010,roll,roll,36
168011,waffle,waffle,47
168011,box,box,255
168012,cracker,crackers,2.8
168013,oz,oz,28.35
168013,slice,slice regular,26
168013,slice,slice large,41
168014,oz,oz,28.35
168014,arrowroot,Arrowroot biscuit (include Arrowroot cookie),4.9
168014,cracker,cracker,2.5
168014,individual,individual box (2 oz),57
168015,oz,oz,28.333
168016,oz,oz,28.333
168088,tbsp,tbsp,20
168088,tsp,tsp,6.7
168089,cup,"cup, shredded",113
168089,cubic,cubic inch,18
168092,cup,cup pieces,138
168092,cubic,cubic inch,20
168093,tbsp,tbsp,13.4
168093,fl oz,fl oz,26
168094,tbsp,tbsp,14.6
168094,cup,cup,231
168095,oz,oz,28.35
168096,tbsp,tbsp,14
168096,cup,cup,216
168097,fl oz,fl oz,30
168097,cup,cup,242
168098,cup,"cup, diced",132
168098,cup,"cup, shredded",113
168098,cubic,cubic inch,17
168098,slice,slice (1 oz),28
168099,tbsp,tbsp,17
168099,cup,cup,264
168100,tbsp,tbsp,15
168100,cup,cup,234
168101,slice,slice,28
168101,cubic,cubic inch,14
168101,slice,"slice, medium",28
168101,slice,"slice, thick",43
168101,slice,"slice, thin",14
168102,cookie,cookie 2011 label,25.5
168103,cup,cup,186
168104,cup,cup,174
168105,cup,cup,174
168107,cubic,cubic inch,4.2
168108,serving,serving 1.31 oz bag,37
168108,serving,serving about 1/4 cup,42
168108,cup,cup,195
168108,piece,piece,3.4
168109,tbsp,tbsp,17
168109,cup,cup,269
168110,oz,"oz, boneless",28.333
168110,cubic,"cubic inch, boneless",17
168111,oz,oz,28.333
168111,lb,lb,453
168112,tbsp,tbsp,14.5
168112,cup,cup,232
